2018-04-20 20:16:31,b'@LeeMack bloody lovely on hignfy right now being funny and sexy as hell as usual #hignfy',London
2018-04-17 09:38:26,b'@Rods_Tweet Loved the clip they showed on #HIGNFY',London
2018-04-17 09:20:27,"b'Bojo is dead, long live Friar Fuckitup #hignfy #eveningstandard #borisjohnson #thecanary https://t.co/FEnAD7bdZ0'",London
2018-04-17 09:20:13,b'@VictoriaCoren I\xe2\x80\x99m just catching up with #hignfy wow you look lovely. #HIGNFY #comedy',London
2018-04-17 08:55:50,"b' #hignfy \xe2\x80\x98A Bit For Got, Have I. More News, You?\xe2\x80\x99\n@Indexers always do it in order in @The_Indexer. Rewatch our 15 millisecon\xe2\x80\xa6 https://t.co/6DoFxJIeMc'",London
2018-04-17 08:48:14,"b'Footnotes to those #hignfy headlines*:\n\nCredit to The Washington Post\'s @pbump came in ""Fire, fury and index mentio\xe2\x80\xa6 https://t.co/EYIbkulO3H'",London
2018-04-17 08:30:58,b'Kim Jong Un sends experts to France to learn how to................torment with panache. Hahaha #HIGNFY Thank you @JohnnyVegasReal',London
2018-04-17 08:26:22,"b'RT @PC_Bain: Have I Got A Bit More of @The_Indexer News For You tonight? Well, yes, actually.\ncockles, of @indexers, duly warmed\n#HIGNFY ht\xe2\x80\xa6'",London
2018-04-17 07:40:17,b'#Facebook can be summed up with one immortal phrase which I was introduced to by the heroes of #hignfy last night \xe2\x80\x9c\xe2\x80\xa6 https://t.co/W1zJG7c4kQ',London
2018-04-17 07:26:34,"b'Oh yes, a bit more of  @The_Indexer on #HIGNFY last night. https://t.co/0ub5BHx8r9'",London
2018-04-17 07:06:51,"b'RT @PC_Bain: Have I Got A Bit More of @The_Indexer News For You tonight? Well, yes, actually.\ncockles, of @indexers, duly warmed\n#HIGNFY ht\xe2\x80\xa6'",London
2018-04-17 06:52:40,b'RT @jewels19c: Shame on you BBC for giving Quentin Letts airtime. His attitude towards women is disgusting. #Hignfy #BBC',London
2018-04-17 06:48:13,b'RT @docmartin2mc: Liberian Greenbul just featured on Have I Got a Bit More News for You! #hignfy https://t.co/Km0afYl5Be',London
2018-04-17 06:42:44,b'Is @reginalddhunter no longer getting a regular gig on #HIGNFY any more or something? https://t.co/U7VTN4aPOp',London
2018-04-17 05:46:24,b'RT @docmartin2mc: Liberian Greenbul just featured on Have I Got a Bit More News for You! #hignfy https://t.co/Km0afYl5Be',London
2018-04-17 05:28:50,"b""After watching #hignfy with #VictoriaCorenMitchell I'm not the least bit surprised to go on here and see that most\xe2\x80\xa6 https://t.co/NiTqCpsvIl""",London
2018-04-17 02:47:56,"b""I have no idea what she's like on any other show, but on #hignfy , @stephbreakfast is all good and funny as hell.""",London
2018-04-16 23:50:10,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-16 23:03:45,b'@pitchblacksteed And I think #hignfy will be far more brutal',London
2018-04-16 22:59:52,b'Liberian Greenbul just featured on Have I Got a Bit More News for You! #hignfy https://t.co/Km0afYl5Be',London
2018-04-16 22:44:02,b'@EbolaPhone @pbump A pretty good one too (@The_Indexer). #HIGNFY https://t.co/0RJFlp7qnY',London
2018-04-16 22:38:46,b'Tonights extended edition of #HIGNFY was really very funny and @VictoriaCoren was great hosting it!!',London
2018-04-16 22:34:17,"b'RT @PC_Bain: Have I Got A Bit More of @The_Indexer News For You tonight? Well, yes, actually.\ncockles, of @indexers, duly warmed\n#HIGNFY ht\xe2\x80\xa6'",London
2018-04-16 22:29:09,b'I admit I haven\xe2\x80\x99t been paying attention to the show so much as listening to Val McDermid\xe2\x80\x99s laugh #hignfy',London
2018-04-16 22:28:55,b'#hignfy The tweet wankfest going on for Victoria Coren just goes to prove the theory of supply and demand. On GMTV\xe2\x80\xa6 https://t.co/PAt83x5gCR',London
2018-04-16 22:28:18,"b""@pbump I guess someone's already told you that you made it into a joke on BBC's Have I Got News For You? #hignfy""",London
2018-04-16 22:28:14,b'#WBA #boingboing #WBAFC \nSo \n#paulmerton says hell is watching the #baggies \n#Hignfy\nBut as we beat the #red#devils\xe2\x80\xa6 https://t.co/NitHPuCAq9',London
2018-04-16 22:27:51,"b' #hignfy Have I Got A Bit More of @The_Indexer News For You tonight? Well, yes, actually.\ncockles, of @indexers, duly warmed\xe2\x80\xa6 https://t.co/L2y7FlMMLF'",London
2018-04-16 22:23:45,"b' #hignfy RT @PC_Bain: Have I Got A Bit More News For You tonight, BBC1, 10.45pm with @VictoriaCoren @valmcdermid @richardosman. The @indexers will b\xe2\x80\xa6'",London
2018-04-16 22:11:25,b'What a stupid dress #HIGNFY',London
2018-04-16 22:10:00,"b""They're on, they're off : Victoria's glasses. #hignfy""",London
2018-04-16 22:09:58,b'Isn\xe2\x80\x99t @VictoriaCoren the most delightful and humorous host of #HIGNFY ever? Invite her to a permanent place on the show. @BBCOne',London
2018-04-16 22:08:01,b'RT @robabdul: SHOCKING: On #HIGNFY Jeremy Paxman drops a #truthbomb #BBC #JeremyCorbyn https://t.co/rDN99Ec848',London
2018-04-16 22:07:36,b'Managed to pause #HIGNFY at the exact moment that @VictoriaCoren was channeling Bridget Jones https://t.co/fxCbH6RyvC',London
2018-04-16 22:06:53,"b'#HIGNFY excelling themselves tonight. Laughter, perfect antidote to a stressful day.'",London
2018-04-16 22:04:57,"b'Not the best couple of weeks for Jeremy Paxman on TV.  \n\nHis performance on #HIGNFY was embarrassing enough, but th\xe2\x80\xa6 https://t.co/3I1zkfeFBb'",London
2018-04-16 22:02:44,"b""Does anyone know the brand of @VictoriaCoren's top \xf0\x9f\x98\x8d #hignfy""",London
2018-04-16 22:00:21,b'Forgot to mention The Queen finishes night with a couple of pints of Heavy #HIGNFY https://t.co/t0ecFKD8U3',London
2018-04-16 21:58:22,"b'Any #afcb fan that likes Victoria Coren, get #hignfy on now. Quality dress \xf0\x9f\x98\x89'",London
2018-04-16 21:53:55,b'Just watching #hignfy and they show one of Chump\xe2\x80\x99s twitter posts from 2013. How ppl change...#potus #syria #trump https://t.co/9pMiAW5VUl',London
2018-04-16 21:53:47,b'Great is the extended version of this weeks #HIGNFY!!',London
2018-04-16 21:49:50,"b'#HIGNFY ""bomber jacket"" \xf0\x9f\x98\x80'",London
2018-04-16 21:46:58,b'It\xe2\x80\x99s torture not watching my recording of last fridays #HIGNFY in anticipation of the extended version about to start now!',London
2018-04-16 21:35:48,"b'#HIGNFY yay ""a bit more"" will be on soon, with the lovely @VictoriaCoren \xf0\x9f\x98\x80'",London
2018-04-16 21:07:29,b'Matt Lukas pretending not to know what that gag is. Yeah right. #hignfy',London
2018-04-16 20:41:31,"b' #hignfy RT @friends_earth: Have we got #plasticfree gardening tips for you?! Yes we have! From the fantastic @AlysFowler, no less: https://t.co/hEa\xe2\x80\xa6'",London
2018-04-16 19:28:46,b'@richardosman Briefly paused #HIGNFY to chat about something far more important and inadvertently caught your best\xe2\x80\xa6 https://t.co/aOyoj6FnX8',London
2018-04-16 18:50:29,"b""@VictoriaCoren Btw, last week's #HIGNFY was the best for a long time \xf0\x9f\x98\x81""",London
2018-04-16 18:37:01,b'@1HowardWalker I smell a mention on #HIGNFY...',London
2018-04-16 18:09:27,b'RT @beverleysings59: Val McDermid has a great laugh \xf0\x9f\xa4\xa3 #HIGNFY',London
2018-04-16 17:21:53,"b' #hignfy Have I Got A Bit More News For You tonight, BBC1, 10.45pm with @VictoriaCoren @valmcdermid @richardosman. The\xe2\x80\xa6 https://t.co/RVzcWqwE7J'",London
2018-04-16 17:18:21,b'Watching @Hollyoaks #corrie #WHUSTO @bbceastenders @E4Chelsea #KissMeFirst #hignfy @BBCNewsnight #bbcpapers #skypapers #SkyQ',London
2018-04-16 17:07:11,b' #hignfy @piersmorgan Why are you covering news over here?  You were hammered in England for offering a load of bollocks - n\xe2\x80\xa6 https://t.co/Gdr6qVw82n',London
2018-04-16 15:54:07,b' #hignfy RT @alicevjones: I did a deep dive into Have I Got News For You and the thorny problem of women. With lots of stats and thanks to @jessphil\xe2\x80\xa6',London
2018-04-16 15:45:55,b' #hignfy RT @alicevjones: I did a deep dive into Have I Got News For You and the thorny problem of women. With lots of stats and thanks to @jessphil\xe2\x80\xa6',London
2018-04-16 15:32:09,"b'RT @TVCatchup: Is it time to put Have I Got News For You out of its misery, as this reporter suggests? - https://t.co/WOdD4yl2oY - #HIGNFY\xe2\x80\xa6'",London
2018-04-16 14:39:10,"b' #hignfy RT @Febian_Awondatu: \xe2\x80\x9cYou\xe2\x80\x99ve got to question though, whether these stooges know what they\xe2\x80\x99re talking about.\xe2\x80\x9d\n\xe2\x80\x94Steph McGovern\n\n@JohnTorode1\xe2\x80\xa6'",London
2018-04-16 14:36:49,"b' #hignfy \xe2\x80\x9cYou\xe2\x80\x99ve got to question though, whether these stooges know what they\xe2\x80\x99re talking about.\xe2\x80\x9d\n\xe2\x80\x94Steph McGovern\xe2\x80\xa6 https://t.co/O9v9FdAd7J'",London
2018-04-16 14:31:44,b' #hignfy Are you more cheerful than a chimp?\n\nThis has made my day. And seeing @VictoriaCoren on TV again has made me happy!\xe2\x80\xa6 https://t.co/y9DFimkzqV',London
2018-04-16 11:24:02,b'RT @ellygriffiths: \xe2\x80\x98If I was in that family I\xe2\x80\x99d be a drinker\xe2\x80\x99. Go @valmcdermid! Great to see you on #hignfy',London
2018-04-16 10:28:59,"b' #hignfy Is it time to put Have I Got News For You out of its misery, as this reporter suggests? - https://t.co/WOdD4yl2oY -\xe2\x80\xa6 https://t.co/u0vBVIKKuf'",London
2018-04-16 10:18:34,b'RT @ricmic2209: Hello all.\nThe second British television topical comedy episode from BBC #HIGNFY Series 55 with @VictoriaCoren Mitchell is\xe2\x80\xa6',London
2018-04-16 08:22:18,b'@DanielJHannan No surprise to see at least one comedian in the foreground there.......a regular on #HIGNFY .......\xe2\x80\xa6 https://t.co/Y4MN2j1xhQ',London
2018-04-16 06:20:58,b'Victoria Mitchell\xe2\x80\x99s udders failed to make #hignfy watchable. Valiant effort though.',London
2018-04-16 02:26:23,b'RT @martynware: The latest The martynware Daily! https://t.co/eOPHjvi91G Thanks to @legend3 @Tate @StallaSimonin #syriastrikes #hignfy',London
2018-04-15 22:52:04,b'Val McDermid least amusing guest ever on #hignfy. It is still a comedy show right?',London
2018-04-15 22:39:13,b'Watching #hignfy on BBC iplayer and realising my washing machine is smarter than our current world leaders.\xe2\x80\xa6 https://t.co/wjlpjHhH5S',London
2018-04-15 21:54:09,"b""@MarieAnnUK @peterrsimms whats this, you need to start the #hignfy who is the odd one out?\n\nI'll make a start, Fara\xe2\x80\xa6 https://t.co/C1Fc5UkdkR""",London
2018-04-15 21:06:36,b'Paxman is such an asshole #hignfy',London
2018-04-15 20:54:04,b'@VictoriaCoren From without doubt the worst #hignfy presenter last week to the best this week!',London
2018-04-15 20:03:18,"b""RT @amendlocke: Nothing shows how fast we're falling more starkly than episodes of #HIGNFY from a couple of years ago on Dave.""",London
2018-04-15 20:01:27,"b""RT @amendlocke: Nothing shows how fast we're falling more starkly than episodes of #HIGNFY from a couple of years ago on Dave.""",London
2018-04-15 19:51:23,b'RT @ThePGHour: OUR DEBATE TOMORROW NIGHT : SHOULD WE GET MORE WOMEN ON COMEDY PANEL SHOWS?\n#Marr #SundayBrunch #hignfy #wilty https://t.co/\xe2\x80\xa6',London
2018-04-15 19:24:00,b'I thought @VictoriaCoren was brilliant on #hignfy this week',London
2018-04-15 17:43:00,b'@uberuk DRIVER OCCUPYING HIMSELF WHILST AWAITING PASSENGER #hignfy @LondonAssembly @CabChat @LondonTaxiRadio\xe2\x80\xa6 https://t.co/AnkMYnAywf',London
2018-04-15 17:42:23,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-15 17:29:58,b'Watching #Paxman on #hignfy https://t.co/4PgLezPO69',London
2018-04-15 16:47:54,"b' #hignfy RT @PC_Bain: More fun with @The_Indexer journal, as seen on #HaveIGotNewsForYou. (!) Checking proofs for my article and Q&amp;A with @FrancisWh\xe2\x80\xa6'",London
2018-04-15 16:45:21,"b' #hignfy More fun with @The_Indexer journal, as seen on #HaveIGotNewsForYou. (!) Checking proofs for my article and Q&amp;A with\xe2\x80\xa6 https://t.co/zXV4OFyl4a'",London
2018-04-15 16:37:09,"b"" #hignfy RT @catherine_mayer: The reason that clip of Jo Brand rebuking Ian Hislop and Paul Merton over their response to #MeToo went viral isn't ju\xe2\x80\xa6""",London
2018-04-15 16:35:14,"b""RT @indexers: In case you blinked and missed @The_Indexer on #HIGNFY. There maybe more in Monday's longer edition\nhttps://t.co/BDNdGysRP8""",London
2018-04-15 16:16:02,b'Would be brilliant if the wonderful @VictoriaCoren could present #HIGNFY every week. She\xe2\x80\x99s a class act.',London
2018-04-15 15:54:11,"b' #hignfy RT @friends_earth: Have we got #plasticfree gardening tips for you?! Yes we have! From the fantastic @AlysFowler, no less: https://t.co/hEa\xe2\x80\xa6'",London
2018-04-15 15:44:28,b'\xe2\xac\x87\xef\xb8\x8f this was a crackingg #HIGNFY https://t.co/wM2iD2HzZW',London
2018-04-15 15:22:04,"b"" #hignfy RT @catherine_mayer: The reason that clip of Jo Brand rebuking Ian Hislop and Paul Merton over their response to #MeToo went viral isn't ju\xe2\x80\xa6""",London
2018-04-15 15:14:25,"b"" #hignfy RT @catherine_mayer: The reason that clip of Jo Brand rebuking Ian Hislop and Paul Merton over their response to #MeToo went viral isn't ju\xe2\x80\xa6""",London
2018-04-15 15:12:43,"b"" #hignfy RT @catherine_mayer: The reason that clip of Jo Brand rebuking Ian Hislop and Paul Merton over their response to #MeToo went viral isn't ju\xe2\x80\xa6""",London
2018-04-15 15:09:40,"b"" #hignfy RT @catherine_mayer: The reason that clip of Jo Brand rebuking Ian Hislop and Paul Merton over their response to #MeToo went viral isn't ju\xe2\x80\xa6""",London
2018-04-15 15:02:08,"b"" #hignfy RT @catherine_mayer: The reason that clip of Jo Brand rebuking Ian Hislop and Paul Merton over their response to #MeToo went viral isn't ju\xe2\x80\xa6""",London
2018-04-15 13:47:08,"b'It\xe2\x80\x99s all just a cosy club. If we had a proper media Johnson would never have made it past #hignfy, never mind FS. https://t.co/71FpX16Pli'",London
2018-04-15 12:49:17,b' #hignfy RT @BritishQuakers: That could well be the first time #Quakers have been mentioned on @haveigotnews. \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f \n\nThere are often lots of sounds i\xe2\x80\xa6',London
2018-04-15 12:47:30,b' #hignfy RT @BritishQuakers: Woop! Great to hear @YoungQuakerPod mentioned on @haveigotnews this eve! You\xe2\x80\x99ll find laughter and fun - as well as sile\xe2\x80\xa6',London
2018-04-15 12:34:20,b'RT @ThePGHour: OUR DEBATE TOMORROW NIGHT : SHOULD WE GET MORE WOMEN ON COMEDY PANEL SHOWS?\n#Marr #SundayBrunch #hignfy #wilty https://t.co/\xe2\x80\xa6',London
2018-04-15 12:33:03,b' #hignfy RT @BritishQuakers: Woop! Great to hear @YoungQuakerPod mentioned on @haveigotnews this eve! You\xe2\x80\x99ll find laughter and fun - as well as sile\xe2\x80\xa6',London
2018-04-15 12:32:20,b' #hignfy RT @BritishQuakers: That could well be the first time #Quakers have been mentioned on @haveigotnews. \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f \n\nThere are often lots of sounds i\xe2\x80\xa6',London
2018-04-15 12:31:52,b' #hignfy RT @BritishQuakers: Woop! Great to hear @YoungQuakerPod mentioned on @haveigotnews this eve! You\xe2\x80\x99ll find laughter and fun - as well as sile\xe2\x80\xa6',London
2018-04-15 12:01:57,b'@guardian #Johnson was good chairing #HIGNFY. He should have stuck to that.',London
2018-04-15 11:56:17,"b' #hignfy RT @RealNatalieRowe: What is going on with that #JEREMYPAXMAN  he\xe2\x80\x99s just told a full on blatant LIE, Jeremy Corbyn was NOT present when any\xe2\x80\xa6'",London
2018-04-15 11:54:28,b'OUR DEBATE TOMORROW NIGHT : SHOULD WE GET MORE WOMEN ON COMEDY PANEL SHOWS?\n#Marr #SundayBrunch #hignfy #wilty https://t.co/bTYKZ14Sox',London
2018-04-15 11:46:25,b'From last Thursday - me sticking it to the man over women on comedy panel shows. https://t.co/NhnihNNzCw #HIGNFY',London
2018-04-15 11:22:17,"b""RT @Osmany22290257: New today's\nhttps://t.co/4ZDYt9jkpx\n#today #soc119 #news #TaxReform #MOU #Mourinho #HIGNFY #Kings #Maracaibo #tirolesa""",London
2018-04-15 11:14:32,"b""Having been a regular viewer of #hignfy I've started to notice how stale it's become. It's not because there are Br\xe2\x80\xa6 https://t.co/zWDL5rgT7a""",London
2018-04-15 10:58:28,"b' #hignfy RT @RealNatalieRowe: What is going on with that #JEREMYPAXMAN  he\xe2\x80\x99s just told a full on blatant LIE, Jeremy Corbyn was NOT present when any\xe2\x80\xa6'",London
2018-04-15 10:55:36,b'@VictoriaCoren slaying on #HIGNFY with her razor sharp wit and intelligence and a gorgeous dress! total #goals',London
2018-04-15 10:18:28,"b' #hignfy RT @Mysteron_Voice: ""I\'d say, Oi, Paxman, NO ! I admire your previously robust work on Newsnight and your no nonsense approach on Universit\xe2\x80\xa6'",London
2018-04-15 08:56:23,"b""RT @amendlocke: Nothing shows how fast we're falling more starkly than episodes of #HIGNFY from a couple of years ago on Dave.""",London
2018-04-15 08:53:57,b'BBC played a huge part in elevating Boris Johnson to the position he\xe2\x80\x99s in now  #marr Thanks a lot #HIGNFY',London
2018-04-15 06:47:18,"b"" #hignfy RT @The_Indexer: We can't think of a nicer bunch of people to be at the mercy of than @valmcdermid, @richardosman and @VictoriaCoren  #HIGN\xe2\x80\xa6""",London
2018-04-15 05:13:46,b'Friendlyjordies should be on Have I Got News For You #friendlyjordies #HIGNFY',London
2018-04-15 04:47:39,"b' #hignfy As long as there is crap like 8 out of 10 cats does countdown (sexism anyone?) and #mocktheweek, all attacks on\xe2\x80\xa6 https://t.co/byjQVVRkMM'",London
2018-04-15 03:56:15,"b'@valmcdermid just watched the best #HIGNFY for ages. No pollies or pomposity,  witty guests and Victoria on form as host.'",London
2018-04-14 23:25:04,b'RT @TraversOxf: Friday night treat @valmcdermid on #HIGNFY @BBCOne https://t.co/FiJQjYtHxL',London
2018-04-14 23:01:55,b' #hignfy @manwhohasitall I expect there are less men than women on @haveigotnews because they take so long to get ready. It\xe2\x80\xa6 https://t.co/tRJcXa1keB',London
2018-04-14 22:48:31,"b' #hignfy Please follow,like and buy from this store https://t.co/Fy6uqPgJlG\n#FridayFeeling #TheGNShow #Cardiff #CARWOL\xe2\x80\xa6 https://t.co/qKNkz1yXRQ'",London
2018-04-14 22:40:50,"b"" #hignfy RT @ScouseSocialism: Proof as if it were needed that the BBC basically exists now to prevent Corbyn getting in power. Because he's had a go\xe2\x80\xa6""",London
2018-04-14 22:20:35,"b""Nothing shows how fast we're falling more starkly than episodes of #HIGNFY from a couple of years ago on Dave.""",London
2018-04-14 22:14:10,"b' #hignfy @SussexFriends @haveigotnews Posh people telling each other west end jokes, calling daily mail readers nazis,\xe2\x80\xa6 https://t.co/MvO0ZwRLKj'",London
2018-04-14 22:10:14,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-14 22:03:06,b'Audience too loud. Ruining the best show on TV.  #audiencetooloud #HIGNFY',London
2018-04-14 22:02:25,"b'Completely agree. An irksome, smug programme whose time has come. #HIGNFY\n\nhttps://t.co/PLARIOflhB'",London
2018-04-14 21:59:15,b'@VictoriaCoren making Saturday night passable in my catchup life - brightest presenter on TV by several miles #hignfy',London
2018-04-14 21:52:45,"b"" #hignfy RT @mrjohnnymac18: Saw last night's #HaveIGotNewsForYou earlier. David Mitchell is so fortunate to have a spouse like Victoria Coren Mitche\xe2\x80\xa6""",London
2018-04-14 21:48:54,"b""RT @The_Indexer: Look! We're on the telly! #HIGNFY https://t.co/k6cWUWDCWY""",London
2018-04-14 21:44:05,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-14 21:32:03,b'RT @f01re: Is it just me or is Paxman a bit drunk on #HIGNFY',London
2018-04-14 21:31:37,b'RT @anitawils151: Dear BBC\n\nPlease never invite Mr Paxman back on to #HIGNFY \nMany thanks\n\nAll of us',London
2018-04-14 21:20:21,b'Hello all.\nThe second British television topical comedy episode from BBC #HIGNFY Series 55 with @VictoriaCoren Mitc\xe2\x80\xa6 https://t.co/wDsw3AhqQp',London
2018-04-14 20:12:19,"b""Okay, I'm watching #HIGNFY and I really need to know where to buy Victoria Coren-Mitchell's cherry top.""",London
2018-04-14 20:00:45,"b""Just watching last week's #HIGNFY. Paxman really doesn't get it. Shouty and obnoxious.""",London
2018-04-14 19:59:21,"b""RT @indexers: In case you blinked and missed @The_Indexer on #HIGNFY. There maybe more in Monday's longer edition\nhttps://t.co/BDNdGysRP8""",London
2018-04-14 19:57:54,b'Just caught up with the first #hignfy extra of the series. Before I liked @stephbreakfast now I am totally in love! #yorkshiresfinest',London
2018-04-14 19:57:38,b'Great to see @VictoriaCoren on @haveigotnews - she should be on it and TV generally much more... #hignfy',London
2018-04-14 19:52:01,"b"" #hignfy RT @robabdul: RT I like to think of Bernie Sanders as Jeremy Corbyn's older brother from another mother. Both are loved by millions, both h\xe2\x80\xa6""",London
2018-04-14 19:44:54,"b'RT @FanaticRealist: Victoria Coren-Mitchell delivers another masterful (?) performance as guest host on #HIGNFY. Witty, charming and - unli\xe2\x80\xa6'",London
2018-04-14 19:43:38,b' #hignfy RT @dawn_aquarius: Is it time to put Have I Got News for You out of its misery? It should have happened at least a decade ago actually. Ser\xe2\x80\xa6',London
2018-04-14 19:43:34,"b"" #hignfy RT @robabdul: RT I like to think of Bernie Sanders as Jeremy Corbyn's older brother from another mother. Both are loved by millions, both h\xe2\x80\xa6""",London
2018-04-14 19:43:02,b'RT @painesrepublic: Who watches this tired and scripted  pre-fabricated crap anyway? \n\n#bbc\n#HIGNFY\n\nhttps://t.co/BwXoHNgULn',London
2018-04-14 19:28:39,b'The latest The martynware Daily! https://t.co/eOPHjvi91G Thanks to @legend3 @Tate @StallaSimonin #syriastrikes #hignfy',London
2018-04-14 19:15:28,"b"" #hignfy RT @robabdul: RT I like to think of Bernie Sanders as Jeremy Corbyn's older brother from another mother. Both are loved by millions, both h\xe2\x80\xa6""",London
2018-04-14 19:12:58,b'RT @TraversOxf: Friday night treat @valmcdermid on #HIGNFY @BBCOne https://t.co/FiJQjYtHxL',London
2018-04-14 19:02:44,"b"" #hignfy RT @robabdul: RT I like to think of Bernie Sanders as Jeremy Corbyn's older brother from another mother. Both are loved by millions, both h\xe2\x80\xa6""",London
2018-04-14 19:01:16,b'Killing myself laughing at Jeremy Paxman on #HIGNFY this week \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',London
2018-04-14 18:58:09,"b"" #hignfy RT @robabdul: RT I like to think of Bernie Sanders as Jeremy Corbyn's older brother from another mother. Both are loved by millions, both h\xe2\x80\xa6""",London
2018-04-14 18:55:48,"b""RT @brierley_jane: #HIGNFY Why don't more women appear on hignfy? Maybe because 70% of the comments on twitter tonight are  about Victoria\xe2\x80\xa6""",London
2018-04-14 18:55:46,"b"" #hignfy RT @robabdul: RT I like to think of Bernie Sanders as Jeremy Corbyn's older brother from another mother. Both are loved by millions, both h\xe2\x80\xa6""",London
2018-04-14 18:48:03,"b"" #hignfy RT @robabdul: RT I like to think of Bernie Sanders as Jeremy Corbyn's older brother from another mother. Both are loved by millions, both h\xe2\x80\xa6""",London
2018-04-14 18:47:43,"b"" #hignfy RT @robabdul: RT I like to think of Bernie Sanders as Jeremy Corbyn's older brother from another mother. Both are loved by millions, both h\xe2\x80\xa6""",London
2018-04-14 18:45:48,"b"" #hignfy RT @robabdul: RT I like to think of Bernie Sanders as Jeremy Corbyn's older brother from another mother. Both are loved by millions, both h\xe2\x80\xa6""",London
2018-04-14 18:44:56,b'I think @VictoriaCoren might actually be the best presenter of Have I Got News For You ever #hignfy',London
2018-04-14 18:38:47,b'RT @TraversOxf: Friday night treat @valmcdermid on #HIGNFY @BBCOne https://t.co/FiJQjYtHxL',London
2018-04-14 18:30:26,b'RT @TraversOxf: Friday night treat @valmcdermid on #HIGNFY @BBCOne https://t.co/FiJQjYtHxL',London
2018-04-14 18:28:28,b'#HIGNFY Is it time to put Have I Got News for You out of its misery? - No. And Steph McGovern was appalling. Did sh\xe2\x80\xa6 https://t.co/szwYYnwT7y',London
2018-04-14 18:15:20,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-14 18:08:53,"b""Double trouble. I've just watched Richard on last night's #HIGNFY #PointlessCelebrities""",London
2018-04-14 18:01:18,b'@VictoriaCoren steals #peterkay joke on funfair dismissals #HIGNFY',London
2018-04-14 17:44:35,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-14 17:27:13,b'RT @Peter_H_Todd: Fri 13th April 2018: Comedy/panel.\nBBC1:\n21:30: #HIGNFY 4.45m\n23:25: #Wannabe 0.98m\nBBC2:\n22:00: #Episodes 0.53m\nC4: (exc\xe2\x80\xa6',London
2018-04-14 17:27:03,b' #hignfy RT @alicevjones: I did a deep dive into Have I Got News For You and the thorny problem of women. With lots of stats and thanks to @jessphil\xe2\x80\xa6',London
2018-04-14 17:25:42,"b'RT @haveigotnews: Wikipedia, Oprah Winfrey and... an antique cutlery collection? \xf0\x9f\xa4\x94\nAll new #HIGNFY - tonight, 9:30 on BBC One. https://t.co\xe2\x80\xa6'",London
2018-04-14 17:09:00,"b""Hope that Paxman watched @VictoriaCoren host #HIGNFY this week for a lesson on why sneering isn't clever or funny,\xe2\x80\xa6 https://t.co/nOSuI90zqX""",London
2018-04-14 16:59:13,b'RT @TraversOxf: Friday night treat @valmcdermid on #HIGNFY @BBCOne https://t.co/FiJQjYtHxL',London
2018-04-14 16:46:20,b'Brilliant @valmcdermid-fest: 2 back to back Hill/Jordan books with a #HIGNFY appearance in the middle!',London
2018-04-14 16:44:33,"b' #hignfy #FionaSturges - It\xe2\x80\x99s not perfect, and doesn\xe2\x80\x99t claim to be, but it\xe2\x80\x99s the only half-decent thing with some integrity\xe2\x80\xa6 https://t.co/C8zfo49P6Q'",London
2018-04-14 16:21:38,"b'Hmmm....Fiona really REALLY does not like #HIGNFY...\n\n""Is it time to put Have I Got News for You out of its misery?\xe2\x80\xa6 https://t.co/QPxgEe4YI7'",London
2018-04-14 16:12:26,b'RT @Socialistdawn: Is it time to put Have I Got News for You out of its misery?. Somebody is upset they don\xe2\x80\x99t get invited on #HIGNFY  https\xe2\x80\xa6',London
2018-04-14 16:04:16,b'Is it time to put Have I Got News for You out of its misery?. Somebody is upset they don\xe2\x80\x99t get invited on #HIGNFY  https://t.co/cHZT4DIW2B',London
2018-04-14 16:03:22,"b'The stars of #HIGNFY? Victoria Coren-Mitchell, Val MacDiarmid and Richard Osman; regulars Ian Hislop and especially\xe2\x80\xa6 https://t.co/pcJuTAWenW'",London
